n,delta_label,delta,p_label,p_true,mu1_true,mu2_true,sigma1_sq_true,sigma2_sq_true,replicate,seed,method,time_sec,success,p_hat,mu1_hat,mu2_hat,sigma1_sq_hat,sigma2_sq_hat,p_error,mu1_error,mu2_error,sigma1_sq_error,sigma2_sq_error,p_abs_error,mu1_abs_error,mu2_abs_error,sigma1_sq_abs_error,sigma2_sq_abs_error
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,22,22,MLE,0.13438260008115321,True,0.524372928323485,-0.635593898286956,1.634524545879076,0.6339843211554866,0.24892781620862928,0.024372928323485032,-0.635593898286956,1.134524545879076,-0.36601567884451336,-0.7510721837913708,0.024372928323485032,0.635593898286956,1.134524545879076,0.36601567884451336,0.7510721837913708
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,23,23,MM,0.0009995000436902046,True,0.6815475434196425,-0.6385507461939491,1.2052435280815201,0.34769909867028137,0.8915502691481233,0.18154754341964252,-0.6385507461939491,0.7052435280815201,-0.6523009013297186,-0.1084497308518767,0.18154754341964252,0.6385507461939491,0.7052435280815201,0.6523009013297186,0.1084497308518767
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,23,23,MLE,0.6681044999277219,True,0.6806564730269955,-0.5914894114780653,1.0997910928598034,0.42250098521471013,1.0941366689063494,0.1806564730269955,-0.5914894114780653,0.5997910928598034,-0.5774990147852899,0.09413666890634942,0.1806564730269955,0.5914894114780653,0.5997910928598034,0.5774990147852899,0.09413666890634942
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,24,24,MM,0.0014027999714016914,True,0.43357285873034235,-1.1392312389634798,1.1072978940882692,0.45258595281236663,0.3915454742715384,-0.06642714126965765,-1.1392312389634798,0.6072978940882692,-0.5474140471876334,-0.6084545257284616,0.06642714126965765,1.1392312389634798,0.6072978940882692,0.5474140471876334,0.6084545257284616
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,24,24,MLE,0.45898579992353916,True,0.5241427414872459,-0.8631486970245715,1.2307828651182176,0.7506439073749084,0.3581709358574477,0.024142741487245933,-0.8631486970245715,0.7307828651182176,-0.24935609262509162,-0.6418290641425524,0.024142741487245933,0.8631486970245715,0.7307828651182176,0.24935609262509162,0.6418290641425524
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,25,25,MM,0.0014808999840170145,True,0.6913818572581529,0.026885511542595608,1.4692832933671394,0.19126795434188337,0.15025714938711035,0.19138185725815293,0.026885511542595608,0.9692832933671394,-0.8087320456581166,-0.8497428506128897,0.19138185725815293,0.026885511542595608,0.9692832933671394,0.8087320456581166,0.8497428506128897
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,25,25,MLE,0.16193679999560118,True,0.6068702685016422,-0.07417549236417866,1.3152160612754282,0.12945654782732746,0.21219034472701526,0.10687026850164216,-0.07417549236417866,0.8152160612754282,-0.8705434521726725,-0.7878096552729847,0.10687026850164216,0.07417549236417866,0.8152160612754282,0.8705434521726725,0.7878096552729847
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,26,26,MM,0.0015202000504359603,False,,,,,,,,,,,,,,,
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,26,26,MLE,0.24839929991867393,True,0.8509357966100737,-0.025535209106674908,2.888431822072285,0.7404023187182246,0.02497972596884789,0.3509357966100737,-0.025535209106674908,2.388431822072285,-0.2595976812817754,-0.9750202740311521,0.3509357966100737,0.025535209106674908,2.388431822072285,0.2595976812817754,0.9750202740311521
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,27,27,MM,0.0015794000355526805,True,0.4271062755976011,-0.8971389487407528,0.775818711409773,0.5681142528585108,0.15165720881911388,-0.07289372440239889,-0.8971389487407528,0.275818711409773,-0.4318857471414892,-0.8483427911808861,0.07289372440239889,0.8971389487407528,0.275818711409773,0.4318857471414892,0.8483427911808861
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,27,27,MLE,0.1994249999988824,True,0.7782770837922144,-0.2655722223387514,1.2086110685883888,0.8203057260649815,0.004125410652063361,0.2782770837922144,-0.2655722223387514,0.7086110685883888,-0.17969427393501847,-0.9958745893479366,0.2782770837922144,0.2655722223387514,0.7086110685883888,0.17969427393501847,0.9958745893479366
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,28,28,MM,0.0014758999459445477,True,0.6126773038006557,-0.42341618751338583,0.8450358328083226,0.30626239528753896,0.26361273396062607,0.11267730380065566,-0.42341618751338583,0.3450358328083226,-0.693737604712461,-0.736387266039374,0.11267730380065566,0.42341618751338583,0.3450358328083226,0.693737604712461,0.736387266039374
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,28,28,MLE,1.2335045000072569,True,0.47765041760567284,-0.5433185333932099,0.6267840626282613,0.27467845104274563,0.38050507485093504,-0.02234958239432716,-0.5433185333932099,0.12678406262826125,-0.7253215489572544,-0.6194949251490649,0.02234958239432716,0.5433185333932099,0.12678406262826125,0.7253215489572544,0.6194949251490649
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,29,29,MM,0.0010028000688180327,True,0.18673162342376384,-1.3974866687887166,0.9522970169768104,0.4860682370902161,0.8690204031325195,-0.3132683765762362,-1.3974866687887166,0.45229701697681035,-0.5139317629097839,-0.1309795968674805,0.3132683765762362,1.3974866687887166,0.45229701697681035,0.5139317629097839,0.1309795968674805
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,29,29,MLE,0.26111190009396523,True,0.14700698476191093,-1.8496080014975462,0.9207852536888212,0.05628317691443709,0.7799853580118137,-0.35299301523808907,-1.8496080014975462,0.42078525368882125,-0.9437168230855629,-0.22001464198818632,0.35299301523808907,1.8496080014975462,0.42078525368882125,0.9437168230855629,0.22001464198818632
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,30,30,MM,0.0013848000671714544,True,0.7081495472944049,-0.19351292384848312,0.7965945114930645,0.4026274432016789,1.7029371375381213,0.20814954729440494,-0.19351292384848312,0.2965945114930645,-0.597372556798321,0.7029371375381213,0.20814954729440494,0.19351292384848312,0.2965945114930645,0.597372556798321,0.7029371375381213
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,30,30,MLE,0.23139550001360476,True,0.9500002191825215,-0.059680103533562755,3.0429431556159434,0.5552444643545972,1e-06,0.45000021918252153,-0.059680103533562755,2.5429431556159434,-0.4447555356454028,-0.999999,0.45000021918252153,0.059680103533562755,2.5429431556159434,0.4447555356454028,0.999999
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,31,31,MM,0.0008169000502675772,True,0.2985125719927927,-1.134496955572549,0.5941014184186527,0.17804606779722104,0.26099336684809465,-0.20148742800720731,-1.134496955572549,0.09410141841865272,-0.8219539322027789,-0.7390066331519054,0.20148742800720731,1.134496955572549,0.09410141841865272,0.8219539322027789,0.7390066331519054
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,31,31,MLE,0.18692669994197786,True,0.1974544686158673,-1.4528589196374553,0.4547611861689226,0.021917331698264896,0.35007441269077894,-0.3025455313841327,-1.4528589196374553,-0.04523881383107742,-0.9780826683017351,-0.6499255873092211,0.3025455313841327,1.4528589196374553,0.04523881383107742,0.9780826683017351,0.6499255873092211
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,32,32,MM,0.0015124999918043613,False,,,,,,,,,,,,,,,
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,32,32,MLE,0.1325628999620676,True,0.7142084863788587,-0.2867621586071271,2.1487203306453306,0.3826230372168519,0.23368519788410733,0.2142084863788587,-0.2867621586071271,1.6487203306453306,-0.617376962783148,-0.7663148021158926,0.2142084863788587,0.2867621586071271,1.6487203306453306,0.617376962783148,0.7663148021158926
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,33,33,MM,0.000817099935375154,True,0.285121482772406,-0.5932092864471112,0.7155594936805705,0.05839811756541711,0.3496606167028306,-0.214878517227594,-0.5932092864471112,0.21555949368057048,-0.9416018824345829,-0.6503393832971693,0.214878517227594,0.5932092864471112,0.21555949368057048,0.9416018824345829,0.6503393832971693
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,33,33,MLE,0.41190730000380427,True,0.2032295517331944,-0.7057590475055415,0.6097521493139578,0.028804842462405375,0.4137523490956088,-0.2967704482668056,-0.7057590475055415,0.10975214931395783,-0.9711951575375947,-0.5862476509043912,0.2967704482668056,0.7057590475055415,0.10975214931395783,0.9711951575375947,0.5862476509043912
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,34,34,MM,0.0007081999210640788,True,0.49501768472728624,-0.47037218827190097,1.1407532366901034,0.29169014783871816,0.44253942567962595,-0.004982315272713755,-0.47037218827190097,0.6407532366901034,-0.7083098521612818,-0.557460574320374,0.004982315272713755,0.47037218827190097,0.6407532366901034,0.7083098521612818,0.557460574320374
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,34,34,MLE,0.2221670999424532,True,0.4461432972864549,-0.5989486609623215,1.1021525722022378,0.17932390622579475,0.4002590202764414,-0.05385670271354509,-0.5989486609623215,0.6021525722022378,-0.8206760937742053,-0.5997409797235587,0.05385670271354509,0.5989486609623215,0.6021525722022378,0.8206760937742053,0.5997409797235587
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,35,35,MM,0.001478699967265129,True,0.6151986900104826,-0.7192377137427796,1.3403242695978368,0.24743404415151116,0.18377343830592957,0.11519869001048255,-0.7192377137427796,0.8403242695978368,-0.7525659558484888,-0.8162265616940705,0.11519869001048255,0.7192377137427796,0.8403242695978368,0.7525659558484888,0.8162265616940705
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,35,35,MLE,0.13735970004927367,True,0.5943929286077645,-0.7548176562514302,1.2868185727726105,0.22162222058589776,0.22295877037415554,0.09439292860776449,-0.7548176562514302,0.7868185727726105,-0.7783777794141022,-0.7770412296258444,0.09439292860776449,0.7548176562514302,0.7868185727726105,0.7783777794141022,0.7770412296258444
